"Freq [GHz]","dB(S(1,1)) []"
2.9,-0.485336104896688
2.905,-0.486178826954692
2.91,-0.487030307639156
2.915,-0.487890806465505
2.92,-0.488760589288584
2.925,-0.489639928491945
2.93,-0.490529103183648
2.935,-0.491428399398821
2.94,-0.49233811030933
2.945,-0.493258536440709
2.95,-0.494189985896827
2.955,-0.495132774592457
2.96,-0.496087226494163
2.965,-0.497053673869832
2.97,-0.498032457547192
2.975,-0.49902392718171
2.98,-0.500028441534291
2.985,-0.501046368759123
2.99,-0.502078086702204
2.995,-0.50312398321088
3,-0.504184456454999
3.005,-0.505259915260076
3.01,-0.506350779453071
3.015,-0.507457480221248
3.02,-0.508580460484775
3.025,-0.509720175283607
3.03,-0.510877092179294
3.035,-0.51205169167242
3.04,-0.513244467636284
3.045,-0.514455927767651
3.05,-0.515686594055296
3.055,-0.516937003267088
3.06,-0.518207707456611
3.065,-0.519499274490015
3.07,-0.520812288594234
3.075,-0.522147350927385
3.08,-0.523505080172494
3.085,-0.52488611315557
3.09,-0.526291105489224
3.095,-0.527720732242984
3.1,-0.529175688641614
3.105,-0.530656690792753
3.11,-0.532164476445301
3.115,-0.533699805779978
3.12,-0.535263462233706
3.125,-0.536856253359374
3.13,-0.538479011722777
3.135,-0.540132595838524
3.14,-0.541817891146892
3.145,-0.543535811033609
3.15,-0.545287297894749
3.155,-0.547073324249022
3.16,-0.548894893899841
3.165,-0.550753043149701
3.17,-0.552648842069566
3.175,-0.554583395826089
3.18,-0.556557846069685
3.185,-0.558573372386573
3.19,-0.560631193818237
3.195,-0.562732570451779
3.2,-0.564878805084958
3.205,-0.567071244969938
3.21,-0.569311283639904
3.215,-0.571600362823096
3.22,-0.573939974448968
3.225,-0.576331662751546
3.23,-0.57877702647531
3.235,-0.581277721189297
3.24,-0.583835461715436
3.245,-0.586452024677593
3.25,-0.589129251178029
3.255,-0.591869049608589
3.26,-0.594673398604339
3.265,-0.597544350147751
3.27,-0.600484032832286
3.275,-0.603494655294538
3.28,-0.606578509824924
3.285,-0.609737976167415
3.29,-0.612975525519553
3.295,-0.616293724744758
3.3,-0.61969524080966
3.305,-0.623182845460166
3.31,-0.626759420150801
3.315,-0.630427961242851
3.32,-0.634191585488055
3.325,-0.638053535815471
3.33,-0.642017187440671
3.335,-0.646086054317565
3.34,-0.650263795954624
3.345,-0.654554224618872
3.35,-0.658961312952633
3.355,-0.663489202029863
3.36,-0.668142209880754
3.365,-0.672924840515514
3.37,-0.677841793480421
3.375,-0.682897973981659
3.38,-0.688098503615236
3.385,-0.693448731743959
3.39,-0.698954247565722
3.395,-0.7046208929206
3.4,-0.710454775887945
3.405,-0.716462285228618
3.41,-0.722650105731763
3.415,-0.729025234530176
3.42,-0.735594998453412
3.425,-0.7423670724932
3.43,-0.749349499461745
3.435,-0.756550710929966
3.44,-0.763979549539796
3.445,-0.77164529279233
3.45,-0.779557678422022
3.455,-0.787726931476262
3.46,-0.796163793229576
3.465,-0.804879552072669
3.47,-0.813886076528304
3.475,-0.823195850559065
3.48,-0.83282201134621
3.485,-0.842778389734324
3.49,-0.853079553553558
3.495,-0.863740854049741
3.5,-0.874778475673183
3.505,-0.886209489499199
3.51,-0.898051910578125
3.515,-0.910324759539388
3.52,-0.923048128803907
3.525,-0.936243253791588
3.53,-0.949932589546609
3.535,-0.964139893242376
3.54,-0.978890313071818
3.545,-0.994210484076103
3.55,-1.01012863151794
3.555,-1.02667468246387
3.56,-1.04388038630387
3.565,-1.06177944500832
3.57,-1.08040765400009
3.575,-1.09980305460734
3.58,-1.12000609915805
3.585,-1.14105982988458
3.59,-1.16301007292436
3.595,-1.18590564883426
3.6,-1.20979860118184
3.605,-1.23474444493842
3.61,-1.26080243657939
3.615,-1.28803586799712
3.62,-1.31651238655565
3.625,-1.3463043438653
3.63,-1.37748917613314
3.635,-1.41014981925665
3.64,-1.44437516217494
3.645,-1.48026054238219
3.65,-1.51790828794446
3.655,-1.55742831085245
3.66,-1.59893875709562
3.665,-1.64256671946619
3.67,-1.68844901980641
3.675,-1.73673306820978
3.68,-1.78757780759411
3.685,-1.841154753096
3.69,-1.8976491369168
3.695,-1.95726117060383
3.7,-2.0202074383103
3.705,-2.08672243638268
3.71,-2.15706027672457
3.715,-2.23149657384286
