"Freq [GHz]","dB(St(1,1)) []"
3.265,-0.260417361733244
3.27,-0.264431482483417
3.275,-0.268544699246418
3.28,-0.272760127191391
3.285,-0.277081002394886
3.29,-0.281510687398206
3.295,-0.286052677059227
3.3,-0.290710604716316
3.305,-0.295488248683166
3.31,-0.300389539094628
3.315,-0.305418565125005
3.32,-0.310579582601675
3.325,-0.315877022038562
3.33,-0.321315497115514
3.335,-0.326899813631676
3.34,-0.332634978962623
3.345,-0.338526212053401
3.35,-0.344578953981622
3.355,-0.350798879127401
3.36,-0.357191906989407
3.365,-0.363764214689193
3.37,-0.370522250209026
3.375,-0.377472746411668
3.38,-0.384622735894234
3.385,-0.391979566731915
3.39,-0.399550919171728
3.395,-0.407344823340738
3.4,-0.41536967803815
3.405,-0.423634270685974
3.41,-0.432147798518505
3.415,-0.440919891097155
3.42,-0.44996063424382
3.425,-0.45928059549311
3.43,-0.468890851171795
3.435,-0.478803015222156
3.44,-0.489029269895312
3.445,-0.499582398450604
3.45,-0.510475820007968
3.455,-0.521723626712245
3.46,-0.533340623381131
3.465,-0.545342369822648
3.47,-0.557745226023239
3.475,-0.570566400424338
3.48,-0.58382400152332
3.485,-0.597537093054679
3.49,-0.611725753028822
3.495,-0.626411136929433
3.5,-0.641615545396207
3.505,-0.657362496747874
3.51,-0.673676804731131
3.515,-0.690584661914864
3.52,-0.708113729185872
3.525,-0.726293231842503
3.53,-0.745154062826979
3.535,-0.764728893685482
3.54,-0.785052293898222
3.545,-0.806160859280046
3.55,-0.828093350216022
3.555,-0.850890840566976
3.56,-0.87459687815695
3.565,-0.899257657839999
3.57,-0.924922208237031
3.575,-0.951642593336838
3.58,-0.979474130269213
3.585,-1.00847562468349
3.59,-1.03870962530489
3.595,-1.07024269939403
3.6,-1.10314573100549
3.605,-1.13749424412879
3.61,-1.17336875300471
3.615,-1.21085514214195
3.62,-1.25004507881741
3.625,-1.29103646113217
3.63,-1.33393390501692
3.635,-1.37884927394193
3.64,-1.42590225549124
3.645,-1.4752209894171
3.65,-1.52694275230521
3.655,-1.58121470456463
3.66,-1.63819470611909
3.665,-1.69805220793336
3.67,-1.76096922737596
3.675,-1.82714141641845
3.68,-1.89677923282944
3.685,-1.97010922586741
3.69,-2.04737544955419
3.695,-2.12884101846789
3.7,-2.2147898231965
3.705,-2.30552842522017
3.71,-2.4013881541464
3.715,-2.50272743403807
3.72,-2.60993437022142
3.725,-2.7234296336567
3.73,-2.84366968698595
3.735,-2.97115040510752
3.74,-3.10641115405577
3.745,-3.25003940572367
3.75,-3.40267598340442
3.755,-3.56502105537595
3.76,-3.73784102231933
3.765,-3.92197648129693
3.77,-4.11835149709724
3.775,-4.32798447480526
3.78,-4.55200101077953
3.785,-4.79164921023869
3.79,-5.04831810892505
3.795,-5.32356003896211
3.8,-5.61911805713644
3.805,-5.93695994007511
3.81,-6.2793207943299
3.815,-6.64875710556669
3.82,-7.0482161776912
3.825,-7.48112657802319
3.83,-7.95151771645465
3.835,-8.46418056208326
3.84,-9.02488763453532
3.845,-9.6407003974204
3.85,-10.3204089917736
3.855,-11.0751786095378
3.86,-11.9195303568235
3.865,-12.8728871901854
3.87,-13.962124843255
3.875,-15.2260265612406
3.88,-16.7236421033152
3.885,-18.5515224914928
3.89,-20.8841628222508
3.895,-24.088762190766
3.9,-29.1683523210189
3.905,-40.038639084286
3.91,-32.5259194504026
3.915,-25.9006443411294
3.92,-22.1487519656569
3.925,-19.5499666920387
3.93,-17.5712440432548
3.935,-15.9807386400242
3.94,-14.6568977908253
3.945,-13.5280327347692
3.95,-12.5482767953693
3.955,-11.6864713209917
3.96,-10.9204494994701
3.965,-10.2338515030265
3.97,-9.61423579453472
3.975,-9.05190159335148
3.98,-8.53912391313011
3.985,-8.06963922101139
3.99,-7.63828933456219
3.995,-7.24076856648789
4,-6.87344017261733
4.005,-6.53320048033001
4.01,-6.21737654037431
4.015,-5.92364780663244
4.02,-5.64998533740471
4.025,-5.39460397409846
4.03,-5.15592426894995
4.035,-4.93254183248142
4.04,-4.72320239633381
4.045,-4.52678132827587
4.05,-4.3422666520196
4.055,-4.16874485350281
4.06,-4.00538892334952
4.065,-3.85144820987415
4.07,-3.7062397503962
4.075,-3.5691408192768
4.08,-3.4395824849962
4.085,-3.31704401007056
4.09,-3.20104795978013
4.095,-3.09115591082489
4.1,-2.98696467081969
4.105,-2.88810293523814
4.11,-2.79422832094461
4.115,-2.70502472552665
4.12,-2.62019996978723
4.125,-2.53948368739024
4.13,-2.46262543108696
4.135,-2.38939296942931
4.14,-2.31957075158937
4.145,-2.25295852099906
4.15,-2.18937006111945
4.155,-2.1286320588352
4.16,-2.0705830728222
4.165,-2.01507259581238
4.17,-1.96196020102744
4.175,-1.91111476421085
4.18,-1.86241375368498
4.185,-1.81574258172464
4.19,-1.77099401128852
4.195,-1.72806761280482
4.2,-1.68686926627935
4.205,-1.64731070449701
4.21,-1.60930909352911
4.215,-1.57278664714867
4.22,-1.53767027210084
4.225,-1.50389124148059
4.23,-1.47138489374162
4.235,-1.44009035510143
4.24,-1.40995028332344
4.245,-1.38091063104878
4.25,-1.35292042702297
4.255,-1.32593157371676
4.26,-1.29989865997878
4.265,-1.27477878748214
4.27,-1.25053140983917
4.275,-1.22711818335902
4.28,-1.20450282851436
4.285,-1.18265100126498
4.29,-1.1615301734609
4.295,-1.14110952161461
4.3,-1.1213598233928
4.305,-1.10225336123356
4.31,-1.0837638325447
4.315,-1.06586626598479
4.32,-1.04853694336944
4.325,-1.03175332678351
4.33,-1.01549399051375
4.335,-0.99973855744792
4.34,-0.98446763961496
4.345,-0.969662782566368
4.35,-0.955306413323373
4.355,-0.941381791635571
4.36,-0.927872964316945
4.365,-0.914764722443174
4.37,-0.902042561210856
4.375,-0.889692642274534
4.38,-0.877701758391297
4.385,-0.866057300215705
4.39,-0.854747225099485
4.395,-0.843760027761238
4.4,-0.833084712701485
4.405,-0.822710768247363
4.41,-0.812628142119848
4.415,-0.802827218424029
4.42,-0.793298795970213
4.425,-0.784034067840148
4.43,-0.775024602118708
4.435,-0.76626232371717
4.44,-0.757739497219102
4.445,-0.749448710684953
4.45,-0.741382860355697
4.455,-0.733535136199997
4.46,-0.725899008253178
4.465,-0.718468213699781
4.47,-0.711236744654725
4.475,-0.704198836601085
4.48,-0.69734895744535
4.485,-0.69068179715352
4.49,-0.684192257933878
4.495,-0.677875444934499
4.5,-0.671726657425556
