"Freq [GHz]","dB(St(1,1)) []"
2.8025,-0.099874913889972
2.80375,-0.100029426765855
2.805,-0.100184564448727
2.80625,-0.100340329828581
2.8075,-0.100496725810458
2.80875,-0.100653755314535
2.81,-0.100811421276248
2.81125,-0.100969726646385
2.8125,-0.101128674391188
2.81375,-0.101288267492458
2.815,-0.101448508947665
2.81625,-0.101609401770051
2.8175,-0.10177094898874
2.81875,-0.101933153648837
2.82,-0.102096018811553
2.82125,-0.102259547554302
2.8225,-0.102423742970809
2.82375,-0.102588608171233
2.825,-0.102754146282275
2.82625,-0.102920360447284
2.8275,-0.103087253826377
2.82875,-0.103254829596558
2.83,-0.103423090951822
2.83125,-0.103592041103284
2.8325,-0.103761683279288
2.83375,-0.103932020725524
2.835,-0.104103056705162
2.83625,-0.104274794498954
2.8375,-0.104447237405364
2.83875,-0.104620388740688
2.84,-0.104794251839185
2.84125,-0.104968830053187
2.8425,-0.105144126753229
2.84375,-0.105320145328189
2.845,-0.105496889185392
2.84625,-0.105674361750754
2.8475,-0.105852566468907
2.84875,-0.106031506803324
2.85,-0.106211186236462
2.85125,-0.10639160826988
2.8525,-0.106572776424375
2.85375,-0.10675469424013
2.855,-0.106937365276836
2.85625,-0.107120793113822
2.8575,-0.107304981350213
2.85875,-0.107489933605047
2.86,-0.107675653517436
2.86125,-0.107862144746692
2.8625,-0.108049410972459
2.86375,-0.108237455894887
2.865,-0.108426283234745
2.86625,-0.108615896733592
2.8675,-0.108806300153901
2.86875,-0.108997497279213
2.87,-0.109189491914303
2.87125,-0.1093822878853
2.8725,-0.109575889039867
2.87375,-0.109770299247332
2.875,-0.109965522398854
2.87625,-0.110161562407576
2.8775,-0.110358423208771
2.87875,-0.11055610876001
2.88,-0.110754623041327
2.88125,-0.110953970055355
2.8825,-0.111154153827517
2.88375,-0.11135517840616
2.885,-0.111557047862739
2.88625,-0.111759766291972
2.8875,-0.111963337812015
2.88875,-0.112167766564621
2.89,-0.112373056715312
2.89125,-0.112579212453549
2.8925,-0.112786237992913
2.89375,-0.112994137571265
2.895,-0.113202915450925
2.89625,-0.113412575918855
2.8975,-0.113623123286824
2.89875,-0.113834561891606
2.9,-0.114046896095139
2.90125,-0.114260130284723
2.9025,-0.114474268873193
2.90375,-0.114689316299117
2.905,-0.114905277026967
2.90625,-0.115122155547323
2.9075,-0.115339956377045
2.90875,-0.115558684059481
2.91,-0.115778343164653
2.91125,-0.115998938289452
2.9125,-0.116220474057828
2.91375,-0.116442955121003
2.915,-0.116666386157651
2.91625,-0.116890771874118
2.9175,-0.117116117004609
2.91875,-0.117342426311404
2.92,-0.117569704585061
2.92125,-0.117797956644613
2.9225,-0.118027187337801
2.92375,-0.118257401541258
2.925,-0.118488604160749
2.92625,-0.118720800131362
2.9275,-0.118953994417743
2.92875,-0.1191881920143
2.93,-0.11942339794544
2.93125,-0.119659617265775
2.9325,-0.119896855060356
2.93375,-0.1201351164449
2.935,-0.120374406566009
2.93625,-0.120614730601411
2.9375,-0.120856093760178
2.93875,-0.121098501282978
2.94,-0.121341958442302
2.94125,-0.121586470542691
2.9425,-0.121832042920999
2.94375,-0.122078680946614
2.945,-0.122326390021714
2.94625,-0.122575175581512
2.9475,-0.122825043094498
2.94875,-0.123075998062696
2.95,-0.123328046021911
2.95125,-0.123581192541999
2.9525,-0.123835443227097
2.95375,-0.124090803715901
2.955,-0.124347279681933
2.95625,-0.124604876833791
2.9575,-0.124863600915409
2.95875,-0.125123457706353
2.96,-0.12538445302206
2.96125,-0.125646592714135
2.9625,-0.125909882670617
2.96375,-0.126174328816247
2.965,-0.126439937112771
2.96625,-0.126706713559197
2.9675,-0.126974664192106
2.96875,-0.127243795085911
2.97,-0.127514112353177
2.97125,-0.127785622144889
2.9725,-0.128058330650763
2.97375,-0.128332244099535
2.975,-0.128607368759267
2.97625,-0.128883710937649
2.9775,-0.129161276982297
2.97875,-0.129440073281078
2.98,-0.129720106262404
2.98125,-0.130001382395557
2.9825,-0.130283908191002
2.98375,-0.130567690200704
2.985,-0.130852735018461
2.98625,-0.131139049280208
2.9875,-0.131426639664374
2.98875,-0.13171551289219
2.99,-0.132005675728027
2.99125,-0.132297134979749
2.9925,-0.132589897499032
2.99375,-0.132883970181721
2.995,-0.133179359968168
2.99625,-0.133476073843588
2.9975,-0.133774118838408
2.99875,-0.13407350202862
3,-0.134374230536152
3.00125,-0.13467631152921
3.0025,-0.134979752222659
3.00375,-0.135284559878394
3.005,-0.135590741805695
3.00625,-0.135898305361617
3.0075,-0.136207257951369
3.00875,-0.136517607028685
3.01,-0.136829360096218
3.01125,-0.13714252470593
3.0125,-0.137457108459486
3.01375,-0.137773119008636
3.015,-0.138090564055638
3.01625,-0.138409451353648
3.0175,-0.138729788707118
3.01875,-0.139051583972233
3.02,-0.139374845057304
3.02125,-0.139699579923193
3.0225,-0.140025796583739
3.02375,-0.140353503106184
3.025,-0.140682707611596
3.02625,-0.141013418275318
3.0275,-0.141345643327387
3.02875,-0.141679391052995
3.03,-0.142014669792922
3.03125,-0.142351487943994
3.0325,-0.142689853959542
3.03375,-0.143029776349842
3.035,-0.143371263682611
3.03625,-0.143714324583436
3.0375,-0.144058967736282
3.03875,-0.144405201883942
3.04,-0.144753035828534
3.04125,-0.145102478431979
3.0425,-0.145453538616493
3.04375,-0.145806225365087
3.045,-0.146160547722056
3.04625,-0.146516514793484
